,class,operation,time
0,honest,sign,6
1,honest,sign,8
2,honest,sign,4
3,honest,sign,2
4,honest,sign,7
5,honest,sign,10
6,honest,sign,4
7,honest,sign,4
8,honest,sign,4
9,honest,sign,5
10,honest,sign,5
11,honest,sign,6
12,honest,sign,8
13,honest,sign,4
14,honest,sign,6
15,honest,sign,12
16,honest,sign,11
17,honest,sign,5
18,honest,sign,1
19,honest,sign,2
20,honest,sign,1
21,honest,sign,1
22,honest,sign,6
23,honest,sign,2
24,honest,sign,1
25,honest,sign,14
26,honest,sign,5
27,honest,sign,6
28,honest,sign,6
29,honest,sign,1
30,honest,sign,3
31,honest,sign,3
32,honest,sign,2
33,honest,sign,5
34,honest,sign,4
35,honest,sign,3
36,honest,sign,2
37,honest,sign,4
38,honest,sign,6
39,honest,sign,1
40,honest,sign,1
41,honest,sign,7
42,honest,sign,3
43,honest,sign,2
44,honest,sign,5
45,honest,sign,3
46,honest,sign,3
47,honest,sign,9
48,honest,sign,3
49,honest,sign,2
50,honest,sign,3
51,honest,sign,9
52,honest,sign,4
53,honest,sign,5
54,honest,sign,4
55,honest,sign,4
56,honest,sign,5
57,honest,sign,1
58,honest,sign,4
59,honest,sign,1
60,honest,sign,6
61,honest,sign,1
62,honest,sign,10
63,honest,sign,5
64,honest,sign,1
65,honest,sign,1
66,honest,sign,2
67,honest,sign,3
68,honest,sign,2
69,honest,sign,5
70,honest,sign,3
71,honest,sign,1
72,honest,sign,1
73,honest,sign,4
74,honest,sign,5
75,honest,sign,3
76,honest,sign,1
77,honest,sign,6
78,honest,sign,3
79,honest,sign,6
80,honest,sign,5
81,honest,sign,1
82,honest,sign,8
83,honest,sign,8
84,honest,sign,4
85,honest,sign,7
86,honest,sign,4
87,honest,sign,10
88,honest,sign,5
89,honest,sign,5
90,honest,sign,2
91,honest,sign,7
92,honest,sign,2
93,honest,sign,5
94,honest,sign,3
95,honest,sign,1
96,honest,sign,6
97,honest,sign,5
98,honest,sign,3
99,honest,sign,6
100,honest,sign,2
101,honest,sign,1
102,honest,sign,2
103,honest,sign,2
104,honest,sign,3
105,honest,sign,5
106,honest,sign,3
107,honest,sign,1
108,honest,sign,5
109,honest,sign,3
110,honest,sign,1
111,honest,sign,1
112,honest,sign,3
113,honest,sign,2
114,honest,sign,2
115,honest,sign,2
116,honest,sign,6
117,honest,sign,5
118,honest,sign,3
119,honest,sign,2
120,honest,sign,7
121,honest,sign,1
122,honest,sign,4
123,honest,sign,1
124,honest,sign,1
125,honest,sign,3
126,honest,sign,3
127,honest,sign,4
128,honest,sign,3
129,honest,sign,2
130,honest,sign,1
131,honest,sign,6
132,honest,sign,1
133,honest,sign,1
134,honest,sign,2
135,honest,sign,4
136,honest,sign,4
137,honest,sign,1
138,honest,sign,1
139,honest,sign,12
140,honest,sign,1
141,honest,sign,3
142,honest,sign,8
143,honest,sign,6
144,honest,sign,2
145,honest,sign,4
146,honest,sign,6
147,honest,sign,10
148,honest,sign,1
149,honest,sign,2
150,honest,sign,3
151,honest,sign,3
152,honest,sign,1
153,honest,sign,2
154,honest,sign,4
155,honest,sign,3
156,honest,sign,6
157,honest,sign,6
158,honest,sign,2
159,honest,sign,1
160,honest,sign,7
161,honest,sign,2
162,honest,sign,3
163,honest,sign,5
164,honest,sign,3
165,honest,sign,1
166,honest,sign,9
167,honest,sign,3
168,honest,sign,1
169,honest,sign,6
170,honest,sign,3
171,honest,sign,1
172,honest,sign,2
173,honest,sign,1
174,honest,sign,2
175,honest,sign,1
176,honest,sign,8
177,honest,sign,2
178,honest,sign,2
179,honest,sign,5
180,honest,sign,9
181,honest,sign,1
182,honest,sign,4
183,honest,sign,3
184,honest,sign,2
185,honest,sign,3
186,honest,sign,1
187,honest,sign,6
188,honest,sign,3
189,honest,sign,4
190,honest,sign,1
191,honest,sign,3
192,honest,sign,4
193,honest,sign,1
194,honest,sign,2
195,honest,sign,3
196,honest,sign,5
197,honest,sign,1
198,honest,sign,7
199,honest,sign,8
200,honest,sign,2
201,honest,sign,3
202,honest,sign,1
203,honest,sign,4
204,honest,sign,11
205,honest,sign,12
206,honest,sign,1
207,honest,sign,3
208,honest,sign,12
209,honest,sign,1
210,honest,sign,2
211,honest,sign,6
212,honest,sign,7
213,honest,sign,4
214,honest,sign,4
215,honest,sign,10
216,honest,sign,4
217,honest,sign,1
218,honest,sign,3
219,honest,sign,3
220,honest,sign,2
221,honest,sign,9
222,honest,sign,5
223,honest,sign,4
224,honest,sign,2
225,honest,sign,2
226,honest,sign,2
227,honest,sign,1
228,honest,sign,8
229,honest,sign,9
230,honest,sign,1
231,honest,sign,4
232,honest,sign,6
233,honest,sign,1
234,honest,sign,2
235,honest,sign,3
236,honest,sign,6
237,honest,sign,5
238,honest,sign,7
