,class,operation,time
0,honest,sign,2
1,honest,sign,6
2,honest,sign,6
3,honest,sign,4
4,honest,sign,5
5,honest,sign,2
6,honest,sign,4
7,honest,sign,2
8,honest,sign,6
9,honest,sign,1
10,honest,sign,5
11,honest,sign,4
12,honest,sign,5
13,honest,sign,2
14,honest,sign,6
15,honest,sign,8
16,honest,sign,2
17,honest,sign,1
18,honest,sign,3
19,honest,sign,2
20,honest,sign,1
21,honest,sign,8
22,honest,sign,2
23,honest,sign,3
24,honest,sign,4
25,honest,sign,6
26,honest,sign,5
27,honest,sign,2
28,honest,sign,4
29,honest,sign,4
30,honest,sign,1
31,honest,sign,2
32,honest,sign,1
33,honest,sign,8
34,honest,sign,2
35,honest,sign,1
36,honest,sign,2
37,honest,sign,1
38,honest,sign,8
39,honest,sign,6
40,honest,sign,7
41,honest,sign,1
42,honest,sign,6
43,honest,sign,2
44,honest,sign,3
45,honest,sign,10
46,honest,sign,2
47,honest,sign,4
48,honest,sign,1
49,honest,sign,5
50,honest,sign,8
51,honest,sign,2
52,honest,sign,5
53,honest,sign,5
54,honest,sign,1
55,honest,sign,8
56,honest,sign,2
57,honest,sign,10
58,honest,sign,1
59,honest,sign,2
60,honest,sign,2
61,honest,sign,2
62,honest,sign,3
63,honest,sign,1
64,honest,sign,5
65,honest,sign,18
66,honest,sign,6
67,honest,sign,3
68,honest,sign,3
69,honest,sign,4
70,honest,sign,4
71,honest,sign,2
72,honest,sign,7
73,honest,sign,1
74,honest,sign,1
75,honest,sign,3
76,honest,sign,2
77,honest,sign,2
78,honest,sign,2
79,honest,sign,1
80,honest,sign,5
81,honest,sign,6
82,honest,sign,5
83,honest,sign,10
84,honest,sign,2
85,honest,sign,2
86,honest,sign,1
87,honest,sign,3
88,honest,sign,6
89,honest,sign,5
90,honest,sign,7
91,honest,sign,1
92,honest,sign,1
93,honest,sign,4
94,honest,sign,1
95,honest,sign,2
96,honest,sign,5
97,honest,sign,1
98,honest,sign,1
99,honest,sign,4
100,honest,sign,3
101,honest,sign,9
102,honest,sign,14
103,honest,sign,4
104,honest,sign,3
105,honest,sign,3
106,honest,sign,3
107,honest,sign,7
